acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,artist_discovery_rank,artist_familiarity_rank,artist_hotttnesss_rank,song_currency_rank,song_hotttnesss_rank
0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842,0.0329852191,111.562,2635.0,2544.0,397.0,115691.0,67609.0
0.1065495253,0.2609111726,0.6070668636,0.8350869898,0.2236762711,0.0305692764,196.961,149495.0,104037.0,159249.0,1871529.0,5415434.0
0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.552,603877.0,707692.0,671848.0,960853.0,3088636.0
0.933741035,0.3127198225,0.3409990466,0.9192423237,0.0829758431,0.032745236,142.499,35654.0,16214.0,20076.0,1730881.0,469613.0
0.1325832964,0.5411565335,0.7572551846,0.8826174388,0.0994326594,0.0292159697,144.808,659316.0,366745.0,737626.0,1871529.0,4416204.0
0.0045131774,0.5434604657,0.539879231,0.678026895,0.1252563629,0.0504146381,105.913,210758.0,39700.0,221783.0,4644902.0,5714259.0
0.3423262003,0.1760942769,0.6395523483,0.9265869856,0.0841585476,0.0497420534,125.603,71806.0,81198.0,82611.0,4098416.0,1566443.0
0.3049734899,0.0776074462,0.985285921,0.6842740657,0.3111749891,0.0672688702,178.194,71806.0,81198.0,82611.0,4892652.0,1136435.0
0.0005734873,0.2806028598,0.9523387503,8.67853e-05,0.3729678103,0.0987943087,151.043,132699.0,85804.0,141779.0,3325451.0,1867665.0
0.6457261123,0.3918469105,0.9834314012,0.2198899012,0.0665380065,0.0402719287,151.461,28557.0,37365.0,39281.0,5130260.0,2312212.0
0.5941410357,0.4274533314,0.7723291791,0.7073819743,0.1897981371,0.0450513825,107.025,28557.0,37365.0,39281.0,4735615.0,3444144.0
0.0533032584,0.3582756015,0.9798132053,0.9245064375,0.2264890581,0.1384133102,121.816,28557.0,37365.0,39281.0,3922888.0,983038.0
0.9763283789,0.3374758924,0.3387460962,0.7089930973,0.1168317399,0.0331432935,99.978,80958.0,38604.0,88797.0,1465006.0,704902.0
0.984743848,0.3434473556,0.2938124533,0.0576944525,0.0964654294,0.0298711645,92.749,80958.0,38604.0,88797.0,4457965.0,4898193.0
